1,97,98,27,0,0
2,82,83,32,0,0
3,9,10,5,0,0
4,12,13,41,0,0
5,99,100,41,0,0
6,38,39,48,0,0
7,88,89,20,0,0
8,48,49,35,0,0
9,80,81,9,0,0
10,24,25,31,0,0
11,55,56,27,0,0
12,26,27,7,0,0
13,38,39,11,0,0
14,4,5,36,0,0
15,2,3,20,0,0
16,90,91,37,0,0
17,85,86,24,0,0
18,88,89,4,0,0
19,73,74,41,0,0
20,27,28,15,0,0
21,67,68,24,0,0
22,6,7,23,0,0
23,12,13,49,0,0
24,81,82,41,0,0
25,34,35,25,0,0
26,29,30,28,0,0
27,43,44,11,0,0
28,52,53,40,0,0
29,93,94,32,0,0
30,62,63,37,0,0
31,82,83,28,0,0
32,58,59,15,0,0
33,67,68,8,0,0
34,15,16,17,0,0
35,87,88,6,0,0
36,67,68,35,0,0
37,89,90,42,0,0
38,65,66,34,0,0
39,63,64,15,0,0
40,28,29,2,0,0
41,59,60,41,0,0
42,94,95,30,0,0
43,97,98,36,0,0
44,28,29,12,0,0
45,89,90,23,0,0
46,66,67,44,0,0
47,21,22,18,0,0
48,68,69,30,0,0
49,52,53,28,0,0
50,25,26,40,0,0
51,24,25,47,0,0
52,36,37,10,0,0
53,69,70,43,0,0
54,3,4,17,0,0
55,34,35,14,0,0
56,85,86,1,0,0
57,71,72,27,0,0
58,29,30,17,0,0
59,99,100,2,0,0
60,6,7,17,0,0
61,66,67,17,0,0
62,57,58,26,0,0
63,36,37,44,0,0
64,27,28,18,0,0
65,93,94,37,0,0
66,98,99,17,0,0
67,87,88,33,0,0
68,66,67,48,0,0
69,99,100,39,0,0
70,29,30,38,0,0
71,81,82,46,0,0
72,63,64,1,0,0
73,28,29,44,0,0
74,86,87,21,0,0
75,21,22,7,0,0
76,87,88,20,0,0
77,3,4,22,0,0
78,45,46,6,0,0
79,69,70,36,0,0
80,27,28,9,0,0
81,18,19,3,0,0
82,46,47,4,0,0
83,52,53,26,0,0
84,63,64,9,0,0
85,51,52,4,0,0
86,87,88,1,0,0
87,29,30,35,0,0
88,43,44,14,0,0
89,78,79,33,0,0
90,69,70,38,0,0
91,10,11,48,0,0
92,95,96,37,0,0
93,2,3,25,0,0
94,9,10,24,0,0
95,44,45,5,0,0
96,5,6,6,0,0
97,61,62,16,0,0
98,11,12,13,0,0
99,90,91,10,0,0
100,53,54,9,0,0
101,98,99,34,0,0
102,63,64,9,0,0
103,67,68,29,0,0
104,40,41,50,0,0
105,11,12,9,0,0
106,73,74,49,0,0
107,54,55,23,0,0
108,84,85,43,0,0
109,21,22,39,0,0
110,55,56,9,0,0
111,20,21,6,0,0
112,88,89,8,0,0
113,24,25,3,0,0
114,72,73,49,0,0
115,60,61,26,0,0
116,30,31,3,0,0
117,37,38,36,0,0
118,93,94,30,0,0
119,18,19,19,0,0
120,51,52,26,0,0
121,64,65,23,0,0
122,66,67,15,0,0
123,76,77,21,0,0
124,33,34,2,0,0
125,50,51,31,0,0
126,25,26,46,0,0
127,67,68,18,0,0
128,73,74,45,0,0
129,88,89,22,0,0
130,99,100,3,0,0
131,60,61,26,0,0
132,18,19,14,0,0
133,88,89,32,0,0
134,26,27,38,0,0
135,12,13,24,0,0
136,8,9,35,0,0
137,70,71,22,0,0
138,57,58,24,0,0
139,54,55,38,0,0
140,11,12,29,0,0
141,59,60,13,0,0
142,6,7,43,0,0
143,12,13,33,0,0
144,49,50,31,0,0
145,46,47,44,0,0
146,70,71,13,0,0
147,97,98,35,0,0
148,95,96,9,0,0
149,48,49,9,0,0
150,54,55,20,0,0
151,18,19,1,0,0
152,15,16,6,0,0
153,45,46,30,0,0
154,4,5,18,0,0
155,60,61,45,0,0
156,73,74,25,0,0
157,88,89,43,0,0
158,10,11,28,0,0
159,1,2,48,0,0
160,1,2,7,0,0
161,63,64,50,0,0
162,32,33,25,0,0
163,93,94,3,0,0
164,32,33,47,0,0
165,25,26,4,0,0
166,26,27,21,0,0
167,95,96,5,0,0
168,76,77,24,0,0
169,40,41,26,0,0
170,29,30,48,0,0
