1,5000
2,2500
3,1670
4,1250
5,1000
6,835
7,715
8,625
9,560
10,500
11,455
12,420
13,385
14,360
15,335
16,315
17,295
18,280
19,265
20,250
21,240
22,230
23,220
24,210
25,200
26,195
27,190
28,180
29,175
30,170
31,165
32,160
33,155
34,150
35,145
36,140
37,140
38,135
39,130
40,125
41,125
42,120
43,120
44,115
45,115
46,110
47,110
48,105
49,105
50,100
51,100
52,100
53,95
54,95
55,95
56,90
57,90
58,90
59,85
60,85
61,85
62,85
63,80
64,80
65,80
66,80
67,75
68,75
69,75
70,75
71,75
72,70
73,70
74,70
75,70
76,70
77,65
78,65
79,65
80,65
81,65
82,65
83,65
84,60
85,60
86,60
87,60
88,60
89,60
90,60
91,55
92,55
93,55
94,55
95,55
96,55
97,55
98,55
99,55
