1,134
2,125
3,61
4,351
5,338
6,235
7,418
8,477
9,424
10,82
11,338
12,411
13,414
14,271
15,18
16,158
17,445
18,125
19,138
20,308
21,154
22,386
23,448
24,133
25,172
26,461
27,320
28,119
29,359
30,339
31,137
32,335
33,276
34,2
35,85
36,19
37,6
38,314
39,427
40,70
41,405
42,184
43,253
44,73
45,311
46,113
47,376
48,334
49,432
50,238
51,199
52,294
53,13
54,50
55,150
56,486
57,423
58,440
59,8
60,432
61,343
62,499
63,43
64,358
65,353
66,200
67,458
68,98
69,342
70,475
71,490
72,353
73,279
74,166
75,248
76,31
77,217
78,475
79,400
80,458
81,100
82,455
83,186
84,111
85,59
86,216
87,483
88,120
89,252
90,206
91,194
92,363
93,355
94,75
95,365
96,472
97,315
98,260
99,231
100,240
101,418
102,394
103,398
104,94
105,62
106,268
107,232
108,145
109,10
110,275
111,355
112,415
113,169
114,91
115,352
116,262
117,152
118,302
119,490
120,146
121,449
122,208
123,373
124,93
125,259
126,13
127,448
128,86
129,435
130,108
131,446
132,479
133,489
134,63
135,134
136,90
137,447
138,370
139,237
140,340
141,206
142,284
143,95
144,4
145,425
146,287
147,203
148,283
149,497
150,226
151,218
152,206
153,237
154,100
155,257
156,285
157,253
158,463
159,182
160,263
161,83
162,270
163,173
164,309
165,326
166,47
167,107
168,464
169,121
170,101
171,374
172,99
173,73
174,124
175,370
176,198
177,198
178,402
179,37
180,185
181,400
182,124
183,500
184,479
185,355
186,112
187,211
188,421
189,126
190,447
191,198
192,354
193,269
194,84
195,116
196,52
197,78
198,250
199,57
200,494
201,78
202,179
203,59
204,29
205,345
206,207
207,120
208,350
209,422
210,450
211,217
212,299
213,324
214,179
215,269
216,361
217,361
218,264
219,482
220,45
221,439
222,46
223,407
224,239
225,229
226,55
227,482
228,212
229,178
230,263
231,119
232,472
233,470
234,72
235,427
236,308
237,414
238,105
239,345
240,83
241,86
242,450
243,147
244,71
245,268
246,340
247,165
248,494
249,411
250,152
251,402
252,465
253,96
254,433
255,48
256,165
257,253
258,364
259,471
260,375
261,284
262,445
263,239
264,26
265,249
266,36
267,196
268,195
269,492
270,453
271,488
272,28
273,431
274,249
275,202
276,473
277,166
278,39
279,260
280,119
281,274
282,140
283,316
284,79
285,432
286,447
287,177
288,99
289,391
290,223
291,498
292,442
293,471
294,293
295,130
296,156
297,421
298,496
299,91
300,443
301,90
302,344
303,49
